text,label
Main.java第5行要空格,0
是，已完成更正,0
"記得加上註
",1
是 有完成,1
GOOOOOOOOOOOOD,1
空的,1
同學你沒有寫建構子。,0
可以可以很棒!,1
空白喔0w0,1
"縮進符幾乎全錯
",0
排列整齊，容易閱讀,0
是，類別命名正確。,0
有達到 很好很棒棒,1
有些回傳或傳入的值沒有說明,0
"不錯，但第二題第7行的 ""@ param args"" 如果用 ""@param args args"" 會有問題，使用自動縮排就可以解決格式上的問題嘍~",0
很好~,1
Good job 666,1
程式符合題目的需求 讚讚,0
"無法編譯，還沒完成，且還沒checkstyle
",0
good，可以加上註解讓大家更好了解各個小區塊是實現什麼功能,0
什麼都沒寫,0
有符合 很棒,1
"題目要求為： ""Hello ANDY !""
你的輸出為： ""Hello ANDY""",0
恩恩 非常的不錯啊,1
Student.java沒有JavaDoc。,0
變數 grade 和 input 沒有初始化,0
總共成績要五個 不是輸入五次，有錯誤的成績不能列入計算,0
"Cake.java的成員變數name, rate 型態應是 private",0
Without any code in.,0
Score Average: 和數字間只能空一格喔,0
讚,1
是。畢竟沒類別。,0
greet檔的“Hello ANDY !”缺標點符號,0
阿斯,1
public double BMI() 不符合命名標準 應該改為小寫,0
棒!寫得很詳細,0
簡潔整齊,1
沒有寫方法,1
"完美
",1
GOOD!,1
輸入五次後，輸入不會截止會一直輸入下去哦,0
student缺乏,0
Java file outside of source root,0
OrderCake 、ReadyMadeCake 中少javadoc,0
阿好好好,1
"pass
",1
啦啦啦,1
還是沒有補上註解喔~,0
第二份沒寫,1
"如果蛋糕名稱含有空格，例如: 水果布丁蛋糕(Fruit(空格)pudding)，那會造成名字只讀到fruit，然後rate會讀到""pudding""，就會造成錯誤；或者是輸入像是cake(空格)1 ，會造成該蛋糕的rate無法讀取，程式直接跳過，跑去讀取weight或quanity。所以在讀取name的時候要用nextline()來避免輸入的名稱含有空格。而造成rate無法讀取的狀況則是要透過在你輸入完weight或quanity之後多加一行scan.nextLine()來避免跳過讀取的部分",0
不符合，輸入錯誤的話應該要立刻就重新輸入才對,0
public Gesture generateGestureByRandom(Gesture computer)要記得打@param computer、public String play(Gesture[] user)、public String play(Gesture[] user) 都是,0
Game類別中有許多缺少或多餘的空格。建議先用Google Checks測試過。,0
第一題Javadoc放錯位置(1:1)、缺少Javadoc(7:1)，而且@param之前需要一個空格(10:0),0
正確 有註解 很詳細 讚,0
沒有印出東西,0
Great!,1
"	
未完成作業",0
"1. game tie 的時候會一直game tie下去, 2.  且如果輸入錯誤re-enter gesture的時候輸入次數有問題",0
bmi沒有進位到小數點後第二位,0
Total price and quantity of all ReadyMakeCake objects 少 : 冒號,0
no java.doc,0
是 而且寫得超詳細 超認真的,0
Student.java的5~8行沒有對變數進行初始化。,0
