text,label
你沒有輸入提示,1
甚麼都沒打,0
有，100分,0
"可以加一點點註解
排版要注意",1
作業未寫,1
完成題目要求，且有加上註解,1
作業正確,1
沒有完成作業,1
寫得很好,0
做得好！,0
有轉換成功，不過題目要求變數宣告要是 int (整數型態)，且不用再另外開一個 .java 檔，src 內已經有 Temperature.java,1
卡關了嗎?,0
寫得真好，變數名稱太帥拉,0
請不要交白卷,1
沒有變數哭了,1
空空如也,0
沒有完成,1
未輸出提示輸入字串,1
作業未完成,1
可以多注意排版,1
請寫完整程式碼,1
我從你空白的程式碼中看到了你的嚴謹、你一絲不苟、你的不屑與狂放不羈的性格，所以我向你獻上我最高的敬意   以及0分,0
"有料，好猛的攝氏溫度
",0
"pass
",0
作業完成,1
沒東西,1
可以加一點點註解,1
在最後增加scanner.close();會更好,1
scanner沒有close,1
"good
",0
BAD,0
很棒,0
讚讚,0
有達到要求,1
輸出用float之後導致輸出有小數點,1
在最後加上scanner.close();會更好,1
讚欸還有打中文,1
pass,0
尚未完成,0
"很棒
",0
看起來甚麼都沒打?,0
請繳交完整程式碼,1
讚,0
good!,0
"input.close();
變數名稱建議命名有意義的名字",1
讚讚連度C度F都有標,1
Nice!,0
你裡面是空的，沒有程式,1
做得好,0
"完美
",0
棒,0
scanner.close();,1
清楚明瞭,1
有個小問題，輸出是int型態,1
輸出文字未達要求，並且輸出型態為Int(應為Float、Double),1
未繳交,0
輸出要是整數，因為題目測試結果沒有小數點,1
沒有看到程式碼,1
"	
輸出要是整數，因為題目測試結果沒有小數點",1
符合題目要求,1
Wrong Answer: City.java第12行有錯誤。Main.java cityPopulation變數有錯誤,1
cityPopulation值不同有差嗎?,1
作業沒空寫?,0
中規中矩,0
中規中矩，附加了輸入方式,1
Without any code in.,1
Good Job!,0
都有達到老師題目的要求 很棒:D!!,1
沒有程式碼,1
Good Job.,0
程式碼清晰簡潔有力,1
不同於%.2f 反而用的Math.round 很酷又很棒!!,1
跟助教講解的不同，用了Math.round很特別,1
程式碼清晰簡潔有力，還有貼心的註解,1
寫了很多註解，很容易理解,1
在轉換人口裡面的變數盡量不要用m 可以換一個更能讓人一眼就明白的變數名稱 雖然題目沒有要求可以自己輸入城市和人口 但是你做出來了 很棒 但其實不用這麼多,1
跟助教不同，用了Math.round很獨特,1
"寫法不太一樣,值得學習",1
可,0
正確 符合要求,1
運行了都沒有看到輸出，研究你的程式好久才發現是需要我先輸入，先輸出提示讓執行者知道要輸出比較好歐，或是至少寫上註解讓人知道要輸入比較好，不過運行上是沒有問題的，讚讚,1
output有誤，數字打錯,1
符合規格，讚讚,1
有歸零 讚讚,1
還可以手動輸入城市和人口 非常棒,1
right,0
正確,0
可以加上註解會更容易理解 code,1
可以加上註解，這樣可以更清楚每一行 code 在做什麼,1
可以不用寫輸入，直接帶入資料即可,1
程式碼寫的很精簡，計算部分直接一行解決，很美觀，讚讚,1
"數學計算的部分，可以自行簡化，不然這樣寫一行解的意義就不見了
但整體來說還是很精簡，做的很棒",1
"一樣是一行解決的部分，可以再修改一些，不必要太多的運算出現
但整體寫的還是很棒、很精簡",1
非常棒,0
完成 很棒,0
看起來沒問題,0
有符合要求,1
可行 但不能隨意更改輸入資料,1
空的 但不確定是否為我這邊的問題,1
空的,0
無程式碼,1
程式碼簡潔整齊，讚讚,1
程式碼編寫整齊，讚,1
可以手動輸入 很棒 有達到要求,1
中規中矩，但輸出打錯字(還看得懂)pupulation->population,1
GOOD.,0
正確無誤，有註解更易解讀!,1
正確，可以增加註解能幫助更快速理解程式。,1
good，不過可以不用輸入,1
empty,0
你是不是忘了git push?,1
未完成,0
嚴謹 有歸零,1
There's nothing.,1
不過keyborad1忘了close喔,1
scanner忘了close,1
記得用空建構子(不用宣告任何東西)，其他都沒問題,1
"沒寫程式碼
",1
"沒有用random
",1
"可以，但縮排的部分，盡量同一
",1
完全正確,1
正確且當輸入錯誤會有提示,1
符合題目要求，程式碼可以再優化,1
符合題目要求，但程式碼有部分冗餘,1
程式符合題目的需求 讚讚,1
生成出來的樂透號碼沒有排序  而且下載下來中文會變亂碼,1
是抽出五個號碼不是六個喔,1
一片空白,0
中規中矩，細節拉滿,1
符合題目要求 但不知道為甚麼下載下來跑不動 我是複製貼上到新的IntelliJ才跑得動的,1
nice,0
中規中矩，但程式碼偏凌亂、複雜,1
interesting,0
可以統一大括號下放或是不下放，有時下放有時不下放看起來有點亂,1
有達到題目要求,1
隨機抽到的號碼沒有由小到大排序再印出,1
"lotteryNumbers是6，而不是5
當maxnumber==5時，應該要有輸出值",1
無任何程式碼,1
"我無法運作此程式，至少在我的電腦上不行。
當我輸入小於5的整數時，他能要我再輸入新的數，而當我輸入大於5他卻沒有印出結果。
我不是很肯定為甚麼無法運行，但在我的電腦上，你可以看到 App 的 else 裡面 ""int num[] = new int[5];""這行的 ""new int[5]"" 是灰色的。如果我沒記錯，這表示這個東西是未被使用的，所以我想，下一行應該未存取到你的隨機數字陣列。

在我觀察你的程式時還有一個小問題，你的輸出之間是沒有空格的，也就是說你的 num 之間會全部黏在一起，影響閱讀。",1
會出現重複的數字。(可能需要多試幾次才能看出此問題),1
利用Reduce the random range來抽出隨機數，獨特的寫法! 然而當範圍大時，會需要大量記憶體空間。,1
LotteryGenerator.java中的第五行: 「int lotteryNumbers = 5;」 應該依題目指示設為靜態常數(int)。,1
pass 有些空格分行可以稍微整理統一一下會比較整齊,1
Good!!!,0
"	
因為 LotteryGenerator中是while(this.maxNumber < this.lotteryNumbers)
因此lotteryNumbers要是5，當maxnumber==5時，才會有輸出值",1
有達到要求 但可以把樂透號碼輸出的[]用掉會更好 很棒,1
已修正靜態常數的錯誤!,1
"已修正出現重複的數字的問題!
然而，印出平均值(avg)時發生錯誤，重複印出了數值。",1
"中規中矩，但totalNumber使用者不知道這是啥阿~~
",1
中規中矩，但使用者會不知道為何要重新輸入，以及很多行的用意不明(未使用到),1
小數點後只會輸出00,1
符合題目所敘述 讚讚,1
還是 沒有 由小 排 到 大 !!!!!!!!!!!!!而且 下載下來中文都是亂碼,1
我是複製程式碼貼到新視窗跑 結果符合題目敘述 但不知道為什麼檔案直接下載下來不能跑,1
