label,text
0,getIsTie函式須加上javadoc敘述及@return。compare函式須加上@return
1,這次似乎不需要？
0,空格不符合google 規範
1,讚啦
0,好像用不到，目前
0,連印出Hello World! 都沒辦法
0,Student.java的第二行、第四十行、第五十二行沒有javadoc
0,三個檔案都空白
1,good!
0,排版很整齊！
0,除了MAIN檔，其他檔案中的所有變數都沒有初始化
0,main.java裹的縮進符要記得改喔
0,"Exception in thread ""main"" java.util.InputMismatchException
        at java.base/java.util.Scanner.throwFor(Scanner.java:947)
        at java.base/java.util.Scanner.next(Scanner.java:1602)
        at java.base/java.util.Scanner.nextInt(Scanner.java:2267)
        at java.base/java.util.Scanner.nextInt(Scanner.java:2221)
        at Main.main(Main.java:31)
錯誤，你可能要改next();"
0,"否，若回合輸入錯誤(不是3或5)的時候，除了""Please re-enter game count.(3 or 5)""的字樣以外，""Please enter game count.(3 or 5)""的字樣也會再一次被印出來。"
1,"Good!
"
1,有！簡潔明瞭！
1,這份作業讓我回想起了廣袤的荒漠，空無一物卻充滿未知的可能，然而在評分標準上，這還是一片空白，所以你得到0分。
0,完全正確
1,可以，NotLucky~
0,很多地方沒有按規定用空格。
1,還是讚！
0,我把你random出的手勢輸出，再根據必贏的手勢輸入，但是依據you lose。你compare的部分有錯誤，玩家贏的時候fin沒+1，所以一直輸，除非全部平手。
1,希望下次能寫得更好
0,整齊易閱讀
1,"是,簡潔明瞭"
0,很棒 都有符合規範
0,"Main.java 第74行 , 應有空格 OrderCake.java , ReadyMadeCake.java 第一行 { 前應有空格 "
0,比賽結果判斷不對。輸出在錯誤的地方。
0,JavaDoc易懂
0,這題好像不需要
1,否
0,是，命名符合要求
0,string陣列未初始化
0,googlecheck回報一堆錯誤
1,EXCELLENT !!!
0,否，沒有輸入javadoc
0,"最後多輸出一個 請輸入成績:
輸入為無效成績，請重新輸入 你多了一個 :
平均成績的輸出要到小數點後兩位喔 "
0,BMI輸出有問題
1,優秀
0,是  註解很詳細
0,Good 符合標準
0,輸出不符合題目要求
0,Game tie時直接結束了遊戲，題目需要直到分出勝負才能結束
0,Without any code in.
0,"請輸入後面都少了"" : ""喔"
0,"1.Mary拼錯記得去掉一個
2.Mary體重輸入301.8沒有跳出輸入無效"
0,執行結果皆符合，但Greet變數未符合
0,本次無變數使用
0,中規中矩，做得符合作業要求
0,註解有符合JavaDoc規範
0,方法命名符合標準
1,是 完全沒問題
1,無作業
0,很棒 排版非常整齊
1,強喔
1,是的~~
0,Your Main.java is purely clean.
0,"身高體重輸入無效的訊息中，應改成這種逗號 "" , ""。輸出Name、Age、BMI時，請注意冒號後有一個空格，像是Name: Tom"
0,只叫我enter cake's name的話我不知道是要輸入order的或是ready的
1,"記得加上註
"
0,Good 類別命名符合標準
1,空的
0,方法命名符合規範
0,不符合Google Checkstyle的規範
0,排版整齊但不符合google checkstyle規範
0,類名不正確
0,Good 註解都符合規範
0,GeneralGame neww = new GeneralGame();的neww不符合命名規則
0,good，可以加上註解讓大家更好了解各個小區塊是實現什麼功能
0,有印出指定的要求
1,有 你寫的程式碼看起來很聰明 我喜歡
0,第二個手勢輸入錯誤後 重新輸入只輸入兩個手勢就跳出結果
0,"不錯，但第二題第7行的 ""@ param args"" 如果用 ""@param args args"" 會有問題，使用自動縮排就可以解決格式上的問題嘍~"
0,排版整齊，但不符合Google Checks的設定
0,"類別命名需要每一個單字的首字母都採用大寫字母
第二題的Stringoperation的o要改大寫"
0,否 平手後無法繼續執行
1,符合 ok
0,"第二題：等號和小於前後應加空格、分號和逗號後面應加空格、for和if後面應加空格、if需用大括號將內容括起、大括號與小括號之間應有空格、變數index,reaplaced聲明和第一次使用距離太多行。 
繳交前可以先用CheckStyle確認。"
1,棒~
1,並沒有
1,簡潔整齊
0,Didn't change the constructor part.
0,Main.java中的name、rate、weight、quantity，Cake.java中的name、rate，OrderCake.java中的weight，ReadyMadeCake.java中的quantity變數皆需初始化。
1,"pass
"
0,GeneralGame 和 PlayGenerator 類別未通過 Google Checks
1,是，做得好java人
0,GeneralGame 少一個javadoc
1,進度報告
0,變數沒有初始化
0,"compare方法中，系統生成之手勢與使用者輸入之手勢相比較之後結果要使用字串陣列保存
且開始程式的第一次提示不是re-enter而是enter"
0,一開始假如輸入3或5還是會叫我重新輸入
0,是 但可以再寫得更加詳細一點
0,正確 有註解 很詳細 讚
0,沒有印出東西
0,沒有符合 google style
1,Great!
0,Setter沒刪掉
0,命名方式正確
0,還是沒有補上註解喔~
1,有完成作業
0,請使用space代替tab
0,有欸！雖然沒有變數XD
0,是的，符合標準且清楚的表示
0,student的checkstyle沒過
0,"否，輸出的結果應該要沒有""""的出現以及缺少""Game over""的字樣。"
0,有達到要求
0,average是double型態，但gradesum是float型態，建議轉換以相同型態運算
0,符合規定
0,請不要交白卷
0,不符合Google check
1,不錯
0,輸出小問題，!太多了
1,市
1,作業忘記寫了
0,第一次輸入時顯示的字樣應是Please enter your gestrue. 而不是re-enter 其他沒有問題
1,完美 !!!
1,是。畢竟這次沒變數。
1,都答對了哦 算你厲害
0,否，沒有JavaDoc。
0,要print出 Hello World!
0,否，BMI在某些數字狀況下會輸出Infinity，BMI計算可能有問題
1,csv
